date,demand
2018-08-17,1439
2018-08-18,1467
2018-08-19,1474
2018-08-20,1565
2018-08-21,1463
2018-08-22,1585
2018-08-23,1384
2018-08-24,1469
2018-08-25,1464
2018-08-26,1322
2018-08-27,1576
2018-08-28,1675
2018-08-29,2347
2018-08-30,2378
2018-08-31,1468
2018-09-01,1394
2018-09-02,1530
2018-09-03,1133
2018-09-04,1657
2018-09-05,2499
2018-09-06,2794
2018-09-07,2585
2018-09-08,1724
2018-09-09,1253
2018-09-10,1280
2018-09-11,1457
2018-09-12,1509
2018-09-13,1798
2018-09-14,1833
2018-09-15,1229
2018-09-16,1282
2018-09-17,1711
2018-09-18,1756
2018-09-19,1820
2018-09-20,1978
2018-09-21,2095
2018-09-22,2244
2018-09-23,2168
2018-09-24,2782
2018-09-25,4562
2018-09-26,4412
2018-09-27,4327
2018-09-28,2866
2018-09-29,1741
2018-09-30,1473
2018-10-01,1567
2018-10-02,1647
2018-10-03,1876
2018-10-04,2259
2018-10-05,2231
2018-10-06,2053
2018-10-07,1291
2018-10-08,1484
2018-10-09,1498
2018-10-10,1561
2018-10-11,1755
2018-10-12,1780
2018-10-13,2799
2018-10-14,2597
2018-10-15,2339
2018-10-16,2404
2018-10-17,1968
2018-10-18,1723
2018-10-19,1959
2018-10-20,1943
2018-10-21,2298
2018-10-22,4013
2018-10-23,3725
2018-10-24,3451
2018-10-25,2571
2018-10-26,1586
2018-10-27,955
2018-10-28,1208
2018-10-29,1361
2018-10-30,1339
2018-10-31,1140
2018-11-01,1486
2018-11-02,1623
2018-11-03,1624
2018-11-04,1418
2018-11-05,1633
2018-11-06,1852
2018-11-07,2271
2018-11-08,2300
2018-11-09,1820
2018-11-10,1830
2018-11-11,1767
2018-11-12,1952
2018-11-13,1731
2018-11-14,1708
2018-11-15,1745
2018-11-16,1270
2018-11-17,1135
2018-11-18,1086
2018-11-19,1179
2018-11-20,1251
2018-11-21,1270
2018-11-22,1860
2018-11-23,1845
2018-11-24,1719
2018-11-25,1509
2018-11-26,1313
2018-11-27,1348
2018-11-28,1694
2018-11-29,2355
2018-11-30,2492
