date,demand
2020-02-04,55.12996364
2020-02-05,50.5062
2020-02-06,44.01327273
2020-02-07,47.40218182
2020-02-08,55.53076364
2020-02-09,43.24876364
2020-02-10,41.65707273
2020-02-11,46.10112
2020-02-12,41.17392
2020-02-13,40.67532
2020-02-14,45.96051429
2020-02-15,52.24614545
2020-02-16,45.27130909
2020-02-17,42.72436364
2020-02-18,38.29297143
2020-02-19,38.45776364
2020-02-20,35.16829091
2020-02-21,40.74102857
2020-02-22,59.41017143
2020-02-23,42.97931429
2020-02-24,46.39035789
2020-02-25,55.07544
2020-02-26,56.81802
2020-02-27,51.4116
2020-02-28,54.4086
2020-02-29,57.64962
