date,demand
2018-08-17,2342
2018-08-18,2452
2018-08-19,1936
2018-08-20,1913
2018-08-21,2002
2018-08-22,2027
2018-08-23,2083
2018-08-24,2278
2018-08-25,2139
2018-08-26,1800
2018-08-27,1959
2018-08-28,2048
2018-08-29,2049
2018-08-30,2087
2018-08-31,2387
2018-09-01,2548
2018-09-02,2153
2018-09-03,1956
2018-09-04,1874
2018-09-05,1821
2018-09-06,1863
2018-09-07,1991
2018-09-08,2004
2018-09-09,1599
2018-09-10,1763
2018-09-11,1739
2018-09-12,1791
2018-09-13,1814
2018-09-14,1924
2018-09-15,1959
2018-09-16,1659
2018-09-17,1719
2018-09-18,1788
2018-09-19,1866
2018-09-20,1975
2018-09-21,2046
2018-09-22,2082
2018-09-23,1688
2018-09-24,1855
2018-09-25,1720
2018-09-26,1761
2018-09-27,1896
2018-09-28,1950
2018-09-29,1983
2018-09-30,1583
2018-10-01,1707
2018-10-02,1717
2018-10-03,1789
2018-10-04,1879
2018-10-05,1945
2018-10-06,2036
2018-10-07,1708
2018-10-08,1593
2018-10-09,1685
2018-10-10,1728
2018-10-11,1889
2018-10-12,2006
2018-10-13,1798
2018-10-14,1413
2018-10-15,1583
2018-10-16,1734
2018-10-17,1751
2018-10-18,1793
2018-10-19,1906
2018-10-20,2008
2018-10-21,1584
2018-10-22,1614
2018-10-23,1789
2018-10-24,1695
2018-10-25,1705
2018-10-26,1816
2018-10-27,1803
2018-10-28,1349
2018-10-29,1555
2018-10-30,1569
2018-10-31,1504
2018-11-01,1606
2018-11-02,1933
2018-11-03,1837
2018-11-04,1547
2018-11-05,1664
2018-11-06,1711
2018-11-07,1822
2018-11-08,1854
2018-11-09,1983
2018-11-10,2100
2018-11-11,1843
2018-11-12,1848
2018-11-13,1685
2018-11-14,1648
2018-11-15,1817
2018-11-16,1914
2018-11-17,1993
2018-11-18,1640
2018-11-19,1830
2018-11-20,1896
2018-11-21,1821
2018-11-22,1526
2018-11-23,3295
2018-11-24,2411
2018-11-25,1536
2018-11-26,1341
2018-11-27,1555
2018-11-28,1613
2018-11-29,1838
2018-11-30,2025
2018-12-01,2229
2018-12-02,1814
2018-12-03,1880
2018-12-04,1851
2018-12-05,1850
2018-12-06,1951
2018-12-07,2677
2018-12-08,2479
2018-12-09,2050
2018-12-10,1903
2018-12-11,1782
2018-12-12,1982
2018-12-13,1905
2018-12-14,2253
2018-12-15,2661
2018-12-16,1866
2018-12-17,1881
2018-12-18,1848
2018-12-19,2217
2018-12-20,2203
2018-12-21,2528
2018-12-22,2560
2018-12-23,2346
2018-12-24,2387
2018-12-25,2452
2018-12-26,2045
2018-12-27,2380
2018-12-28,1897
2018-12-29,1935
2018-12-30,2041
2018-12-31,2130
2019-01-01,1786
2019-01-02,1696
2019-01-03,1609
2019-01-04,1922
2019-01-05,1616
2019-01-06,1286
2019-01-07,1640
2019-01-08,1523
2019-01-09,1548
2019-01-10,1748
2019-01-11,1743
2019-01-12,1867
2019-01-13,1387
2019-01-14,1741
2019-01-15,1675
2019-01-16,1728
2019-01-17,1669
2019-01-18,1726
2019-01-19,2038
2019-01-20,1554
2019-01-21,1738
2019-01-22,1600
2019-01-23,1610
2019-01-24,1788
2019-01-25,1829
2019-01-26,1668
2019-01-27,1371
2019-01-28,1606
2019-01-29,1579
2019-01-30,1625
2019-01-31,1650
2019-02-01,1654
2019-02-02,2021
2019-02-03,1268
2019-02-04,1216
2019-02-05,1617
2019-02-06,1719
2019-02-07,1809
2019-02-08,1554
2019-02-09,1574
2019-02-10,1144
2019-02-11,1021
2019-02-12,1185
2019-02-13,1752
2019-02-14,1698
2019-02-15,1915
2019-02-16,1656
2019-02-17,1607
2019-02-18,1673
2019-02-19,1629
2019-02-20,1736
2019-02-21,1819
2019-02-22,1753
2019-02-23,1818
2019-02-24,1333
2019-02-25,1597
2019-02-26,1567
2019-02-27,1656
2019-02-28,1747
2019-03-01,1926
2019-03-02,1899
2019-03-03,1585
2019-03-04,1676
2019-03-05,1776
2019-03-06,1743
2019-03-07,1733
2019-03-08,1709
2019-03-09,1900
2019-03-10,1644
2019-03-11,1616
2019-03-12,1662
2019-03-13,1781
2019-03-14,1998
2019-03-15,2169
2019-03-16,2455
2019-03-17,1748
2019-03-18,1931
2019-03-19,1871
2019-03-20,1930
2019-03-21,1909
2019-03-22,1980
2019-03-23,2078
2019-03-24,1703
2019-03-25,1838
2019-03-26,1858
2019-03-27,2026
2019-03-28,1933
2019-03-29,2158
2019-03-30,2207
2019-03-31,1854
2019-04-01,1854
2019-04-02,1895
2019-04-03,1928
2019-04-04,1991
2019-04-05,2013
2019-04-06,1839
2019-04-07,1394
2019-04-08,1643
2019-04-09,1648
2019-04-10,1780
2019-04-11,1763
2019-04-12,1909
2019-04-13,1808
2019-04-14,1499
2019-04-15,1754
2019-04-16,1731
2019-04-17,1813
2019-04-18,1855
2019-04-19,2039
2019-04-20,2200
2019-04-21,1456
2019-04-22,1716
2019-04-23,1783
2019-04-24,1933
2019-04-25,1990
2019-04-26,2138
2019-04-27,1974
2019-04-28,1575
2019-04-29,1726
2019-04-30,1980
2019-05-01,1289
2019-05-02,1963
2019-05-03,2042
2019-05-04,2056
2019-05-05,1748
2019-05-06,1877
2019-05-07,1917
2019-05-08,1973
2019-05-09,2051
2019-05-10,2210
2019-05-11,2172
2019-05-12,1590
2019-05-13,1731
2019-05-14,1765
2019-05-15,1745
2019-05-16,1812
2019-05-17,2111
2019-05-18,2186
2019-05-19,1837
2019-05-20,1734
2019-05-21,1734
2019-05-22,1784
2019-05-23,2041
2019-05-24,2158
2019-05-25,1971
2019-05-26,1942
2019-05-27,1856
2019-05-28,1859
2019-05-29,1824
2019-05-30,2001
2019-05-31,2063
2019-06-01,2066
2019-06-02,1752
2019-06-03,1871
2019-06-04,1854
2019-06-05,1918
2019-06-06,2032
2019-06-07,2041
2019-06-08,2172
2019-06-09,1757
2019-06-10,1992
2019-06-11,2022
2019-06-12,2139
2019-06-13,2120
2019-06-14,2294
2019-06-15,2258
2019-06-16,1824
2019-06-17,2149
2019-06-18,1997
2019-06-19,2021
2019-06-20,2130
2019-06-21,2368
2019-06-22,2252
2019-06-23,1872
2019-06-24,2254
2019-06-25,2083
2019-06-26,2182
2019-06-27,2178
2019-06-28,2302
2019-06-29,2300
2019-06-30,3202
2019-07-01,2264
2019-07-02,2038
2019-07-03,2183
2019-07-04,2008
2019-07-05,2257
2019-07-06,2218
2019-07-07,1498
2019-07-08,1917
2019-07-09,1988
2019-07-10,1928
2019-07-11,2189
2019-07-12,2370
2019-07-13,2353
2019-07-14,1821
2019-07-15,2055
2019-07-16,2162
2019-07-17,2029
2019-07-18,2187
2019-07-19,2349
2019-07-20,2380
2019-07-21,2126
2019-07-22,2190
2019-07-23,1980
2019-07-24,2018
2019-07-25,2279
2019-07-26,2366
2019-07-27,2381
2019-07-28,1814
2019-07-29,2091
2019-07-30,2033
2019-07-31,2099
2019-08-01,2233
2019-08-02,2436
2019-08-03,2366
2019-08-04,1940
2019-08-05,2121
2019-08-06,2137
2019-08-07,2280
2019-08-08,2212
2019-08-09,2442
2019-08-10,2228
2019-08-11,2024
2019-08-12,2200
2019-08-13,2250
2019-08-14,2242
2019-08-15,2444
2019-08-16,2395
2019-08-17,2241
2019-08-18,1727
2019-08-19,2075
2019-08-20,2085
