location,date,phq_attendance_community_hospitality_stats_sum,phq_attendance_conferences_hospitality_stats_sum,phq_attendance_expos_hospitality_stats_sum,phq_attendance_sports_hospitality_stats_sum,phq_impact_academic_exam_stats_sum,phq_impact_academic_holiday_stats_sum,phq_impact_observances_hospitality_stats_sum,phq_impact_public_holidays_hospitality_stats_sum,phq_impact_severe_weather_cold_wave_retail_stats_max,phq_impact_severe_weather_cold_wave_storm_retail_stats_max,phq_attendance_school_holidays_stats_sum,phq_attendance_festivals_hospitality_stats_sum,phq_impact_severe_weather_heat_wave_retail_stats_max,phq_impact_severe_weather_tornado_retail_stats_max,phq_attendance_concerts_hospitality_stats_sum,phq_attendance_performing_arts_hospitality_stats_sum,phq_impact_school_holidays_stats_sum,phq_impact_severe_weather_flood_retail_stats_max,phq_impact_severe_weather_thunderstorm_retail_stats_max
store_0,2017-01-02,6704.0,0.0,0.0,26115,0.0,0.0,0,95,0.0,0,,,,,,,,,
store_0,2017-01-03,6704.0,0.0,0.0,31876,0.0,0.0,0,13,0.0,0,,,,,,,,,
store_0,2017-01-04,6704.0,0.0,0.0,26115,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-05,6704.0,0.0,0.0,13760,0.0,0.0,9,0,0.0,0,,,,,,,,,
store_0,2017-01-06,8380.0,0.0,0.0,19500,0.0,0.0,10,0,0.0,0,,,,,,,,,
store_0,2017-01-07,10056.0,0.0,0.0,6825,0.0,0.0,90,0,0.0,0,,,,,,,,,
store_0,2017-01-08,1308.0,0.0,0.0,6935,0.0,0.0,94,0,0.0,0,,,,,,,,,
store_0,2017-01-09,0.0,0.0,0.0,19812,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-10,0.0,0.0,0.0,6935,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-11,0.0,0.0,142.0,6935,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-12,0.0,0.0,567.0,26115,0.0,0.0,9,0,0.0,0,,,,,,,,,
store_0,2017-01-13,0.0,0.0,2833.0,31000,0.0,0.0,10,7,0.0,0,,,,,,,,,
store_0,2017-01-14,0.0,0.0,4774.0,23612,0.0,0.0,90,7,0.0,0,,,,,,,,,
store_0,2017-01-15,0.0,0.0,16346.0,6059,0.0,0.0,24,36,0.0,0,,,,,,,,,
store_0,2017-01-16,0.0,0.0,13506.0,6303,0.0,0.0,0,90,0.0,0,,,,,,,,,
store_0,2017-01-17,0.0,0.0,22576.0,18006,0.0,0.0,0,13,0.0,0,,,,,,,,,
store_0,2017-01-18,0.0,0.0,13756.0,13238,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-19,200.0,0.0,17382.0,19812,0.0,0.0,0,0,0.0,0,,,,,,,,,
store_0,2017-01-20,4000.0,0.0,8784.0,13870,0.0,0.0,0,0,0.0,0,,,,,,,,,
