location,date,demand
store_0,2017-01-02,5552.019186155759
store_0,2017-01-03,8299.941863103852
store_0,2017-01-04,8556.730071981367
store_0,2017-01-05,8595.100423106212
store_0,2017-01-06,8198.941336671523
store_0,2017-01-07,4603.797607265974
store_0,2017-01-08,4540.583413039222
store_0,2017-01-09,8291.576676829185
store_0,2017-01-10,8629.401780805794
store_0,2017-01-11,7217.360816327004
store_0,2017-01-12,8404.744283552835
store_0,2017-01-13,8450.852853256682
store_0,2017-01-14,2755.2363975056096
store_0,2017-01-15,4641.334530703648
store_0,2017-01-16,6799.895740938131
store_0,2017-01-17,8081.113811680767
store_0,2017-01-18,8876.523852367045
store_0,2017-01-19,8948.787720028535
store_0,2017-01-20,9242.38688385874
store_0,2017-01-21,4743.571007447164
store_0,2017-01-22,5218.836514217169
store_0,2017-01-23,7277.118345180379
store_0,2017-01-24,8759.424753886076
store_0,2017-01-25,8512.428488954758
store_0,2017-01-26,9366.624211497612
store_0,2017-01-27,9005.411597842969
store_0,2017-01-28,5217.025687767233
store_0,2017-01-29,5311.287379839701
store_0,2017-01-30,9816.310748371856
store_0,2017-01-31,9825.301502791175
store_0,2017-02-01,9658.321707022084
store_0,2017-02-02,9935.54727593228
store_0,2017-02-03,9029.295381710055
store_0,2017-02-04,5627.4023783761095
store_0,2017-02-05,4812.203429385808
store_0,2017-02-06,10043.810702577995
store_0,2017-02-07,10880.279817255265
store_0,2017-02-08,10241.129601740467
store_0,2017-02-09,5614.312193602551
store_0,2017-02-10,9298.412342971307
store_0,2017-02-11,5791.169020361715
store_0,2017-02-12,5604.2510693996455
store_0,2017-02-13,9859.96585330546
store_0,2017-02-14,9833.538786014824
store_0,2017-02-15,10829.25103537761
store_0,2017-02-16,9970.550782575365
store_0,2017-02-17,10032.94860617334
store_0,2017-02-18,5142.122086659882
store_0,2017-02-19,5112.477221308114
store_0,2017-02-20,7557.664000746703
store_0,2017-02-21,10415.594353026356
store_0,2017-02-22,10810.94968812232
store_0,2017-02-23,10284.355329778742
store_0,2017-02-24,9802.284604330176
store_0,2017-02-25,6251.507121152994
store_0,2017-02-26,5363.4077328118055
store_0,2017-03-01,10224.541249296686
store_0,2017-03-02,11454.476101705855
store_0,2017-03-03,10527.83043154661
store_0,2017-03-04,6427.530502458611
store_0,2017-03-05,5487.835764407714
store_0,2017-03-06,10865.240121171786
store_0,2017-03-07,11232.00762540129
store_0,2017-03-08,10893.249750125142
store_0,2017-03-09,11109.550529361695
store_0,2017-03-10,9654.881966563957
store_0,2017-03-11,5920.772717151014
store_0,2017-03-12,5667.293457938461
store_0,2017-03-13,10706.328474407164
store_0,2017-03-14,3470.0265933316846
store_0,2017-03-15,10224.997214156878
store_0,2017-03-16,10619.119854500908
store_0,2017-03-17,10294.16821647567
store_0,2017-03-18,6228.51151277621
store_0,2017-03-19,6000.540285827029
store_0,2017-03-20,11018.529896088015
store_0,2017-03-21,10824.93205392103
store_0,2017-03-22,10646.841965306205
store_0,2017-03-23,11108.19137613852
store_0,2017-03-24,10261.714100507068
store_0,2017-03-25,6157.420625483714
store_0,2017-03-26,5360.496464361628
store_0,2017-03-27,9797.042164009805
store_0,2017-03-28,10337.3994674324
store_0,2017-03-29,10953.620204763833
store_0,2017-03-30,10646.951534710786
store_0,2017-03-31,9327.90808107924
store_0,2017-04-01,6821.442787280788
store_0,2017-04-02,5695.431002957269
store_0,2017-04-03,10493.953200539509
store_0,2017-04-04,10362.399225800214
store_0,2017-04-05,10778.83277841541
store_0,2017-04-06,10556.727197864946
store_0,2017-04-07,10436.771935018684
store_0,2017-04-08,5782.026232940645
store_0,2017-04-09,5167.430094498424
store_0,2017-04-10,9105.443237216858
store_0,2017-04-11,9960.971968211505
store_0,2017-04-12,9800.572416725572
store_0,2017-04-13,10637.83500536834
store_0,2017-04-14,9189.508392338912
store_0,2017-04-15,5797.111725098052
store_0,2017-04-17,11089.763522994424
store_0,2017-04-18,11359.881310248573
store_0,2017-04-19,11493.655363890624
store_0,2017-04-20,11212.899837904872
store_0,2017-04-21,10715.80859291366
store_0,2017-04-22,6285.230975052292
store_0,2017-04-23,6474.708604865109
store_0,2017-04-24,10338.048120481875
store_0,2017-04-25,11250.330706100174
store_0,2017-04-26,11428.20011194819
store_0,2017-04-27,11318.24689331576
store_0,2017-04-28,10344.18316507604
store_0,2017-04-29,6393.448567865085
store_0,2017-04-30,5956.931778731075
store_0,2017-05-01,10556.555598327986
store_0,2017-05-02,11165.630880816929
store_0,2017-05-03,12171.893660130068
store_0,2017-05-04,11436.846062842971
store_0,2017-05-05,10189.783063721448
store_0,2017-05-06,6881.511578777092
store_0,2017-05-07,5830.234426524371
store_0,2017-05-08,11186.793384661223
store_0,2017-05-09,11541.99916378277
store_0,2017-05-10,12015.670278009511
store_0,2017-05-11,11279.447091362124
store_0,2017-05-12,10492.305741805563
store_0,2017-05-13,5722.16379245755
store_0,2017-05-14,5288.754893286506
store_0,2017-05-15,10825.339666205631
store_0,2017-05-16,11625.5038431357
store_0,2017-05-17,11523.949011438614
store_0,2017-05-18,10894.353934496348
store_0,2017-05-19,10140.656455766208
store_0,2017-05-20,5703.652624020269
store_0,2017-05-21,5742.1275124529375
store_0,2017-05-22,10328.275188624344
store_0,2017-05-23,9999.64271497474
store_0,2017-05-24,10012.75659178486
store_0,2017-05-25,9622.653805411628
store_0,2017-05-26,8361.482802067352
store_0,2017-05-27,4619.855116878123
store_0,2017-05-28,4351.865328212492
store_0,2017-05-29,5367.873781943276
store_0,2017-05-30,4353.401060817812
store_0,2017-05-31,9999.662966837348
store_0,2017-06-01,10953.95804491655
