,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-02-21,1,3167,0,0,1,0,0,0,0,0,0,0,0,0,3167,0,0,0,0,0,0,0,0.007897755610972569
2017-02-22,2,63167,0,0,1,0,0,0,1,0,0,0,0,0,3167,0,0,0,60000,0,0,0,0.15752369077306733
2017-02-23,2,66000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6000,0,60000,0,0,0,0.16458852867830423
2017-02-24,2,61900,0,0,1,0,0,0,1,0,0,0,0,0,1900,0,0,0,60000,0,0,0,0.1543640897755611
2017-02-25,5,133900,0,0,2,0,1,0,2,0,0,0,0,0,61900,0,6000,0,66000,0,0,0,0.3339152119700748
2017-02-26,2,61900,0,0,1,0,0,0,1,0,0,0,0,0,1900,0,0,0,60000,0,0,0,0.1543640897755611
2017-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-02,3,67900,0,0,1,0,1,1,0,0,0,0,0,0,1900,0,6000,60000,0,0,0,0,0.16932668329177056
2017-03-03,2,66000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6000,60000,0,0,0,0,0.16458852867830423
2017-03-04,4,132000,0,1,0,0,2,1,0,0,0,0,0,60000,0,0,12000,60000,0,0,0,0,0.32917705735660846
2017-03-05,2,66000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6000,60000,0,0,0,0,0.16458852867830423
2017-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
