place_id,name,type,parent_place_id,parent_name,parent_type
4337452,Plaquemines Parish,county,4331987,Louisiana,region
4177485,Washington County,county,4155751,Florida,region
4161743,Lee County,county,4155751,Florida,region
4812303,Lincoln County,county,4826850,West Virginia,region
5603018,Owyhee County,county,5596512,Idaho,region
4277045,Pawnee County,county,4273857,Kansas,region
5773664,Davis County,county,5549030,Utah,region
4368320,Saint Mary's County,county,4361885,Maryland,region
4291564,Fayette County,county,6254925,Kentucky,region
4298293,Lincoln County,county,6254925,Kentucky,region
5738839,Malheur County,county,5744337,Oregon,region
4737316,Travis County,county,4736286,Texas,region
5211208,Schuylkill County,county,6254927,Pennsylvania,region
5151865,Defiance County,county,5165418,Ohio,region
4764100,Highland County,county,6254928,Virginia,region
5521640,Floyd County,county,4736286,Texas,region
4755298,City of Danville,county,6254928,Virginia,region
5073780,Nemaha County,county,5073708,Nebraska,region
5427526,Kit Carson County,county,5417618,Colorado,region
4239836,Greene County,county,4896861,Illinois,region
5828957,Johnson County,county,5843591,Wyoming,region
4241773,Jefferson County,county,4896861,Illinois,region
5045020,Saint Louis County,county,5037779,Minnesota,region
5141784,Ulster County,county,5128638,State of New York,region
4266579,Warrick County,county,4921868,Indiana,region
4102608,Boone County,county,4099753,Arkansas,region
4532932,Cherokee County,county,4544379,Oklahoma,region
5037515,Mille Lacs County,county,5037779,Minnesota,region
5229775,Miner County,county,5769223,South Dakota,region
4827706,Wood County,county,4826850,West Virginia,region
5662406,Lincoln County,county,5667009,Montana,region
4691668,Foard County,county,4736286,Texas,region
5509519,Nye County,county,5509151,Nevada,region
5534225,Yoakum County,county,4736286,Texas,region
5536454,Carbon County,county,5549030,Utah,region
5517459,Borden County,county,4736286,Texas,region
5694776,Deuel County,county,5073708,Nebraska,region
4187390,Chatham County,county,4197000,Georgia,region
4487947,Richmond County,county,4482348,North Carolina,region
4859901,Harrison County,county,4862182,Iowa,region
5136456,Schenectady County,county,5128638,State of New York,region
4513280,Greene County,county,5165418,Ohio,region
5720502,Coos County,county,5744337,Oregon,region
4261598,Morgan County,county,4921868,Indiana,region
5059254,Foster County,county,5690763,North Dakota,region
4627625,Hardin County,county,4662168,Tennessee,region
4922013,Jay County,county,4921868,Indiana,region
4289242,Cumberland County,county,6254925,Kentucky,region
4158961,Holmes County,county,4155751,Florida,region
4073885,Lowndes County,county,4829764,Alabama,region
4461030,Cleveland County,county,4482348,North Carolina,region
4074636,Marion County,county,4829764,Alabama,region
4548371,Pottawatomie County,county,4544379,Oklahoma,region
4781039,Rappahannock County,county,6254928,Virginia,region
4312745,Washington County,county,6254925,Kentucky,region
4651744,Putnam County,county,4662168,Tennessee,region
5007587,Roscommon County,county,5001836,Michigan,region
4449240,Union County,county,4436296,Mississippi,region
5323414,Alpine County,county,5332921,California,region
5174418,Trumbull County,county,5165418,Ohio,region
4379567,Callaway County,county,4398678,Missouri,region
5825643,Fremont County,county,5843591,Wyoming,region
4207045,Lowndes County,county,4197000,Georgia,region
4925224,Randolph County,county,4921868,Indiana,region
4827540,Wirt County,county,4826850,West Virginia,region
4208454,McDuffie County,county,4197000,Georgia,region
5078904,Sherman County,county,5073708,Nebraska,region
4246841,Perry County,county,4896861,Illinois,region
4707076,Live Oak County,county,4736286,Texas,region
5277222,Vilas County,county,5279468,Wisconsin,region
5519174,Coke County,county,4736286,Texas,region
4744725,Arlington County,county,6254928,Virginia,region
5609855,Teton County,county,5596512,Idaho,region
4692203,Franklin County,county,4736286,Texas,region
5105168,Sussex County,county,5101760,New Jersey,region
4998005,Kent County,county,5001836,Michigan,region
4434357,Lowndes County,county,4436296,Mississippi,region
4632660,Jackson County,county,4662168,Tennessee,region
5036279,Mahnomen County,county,5037779,Minnesota,region
4534948,Delaware County,county,4544379,Oklahoma,region
4611599,Carter County,county,4662168,Tennessee,region
4857648,Franklin County,county,4862182,Iowa,region
4300426,Meade County,county,6254925,Kentucky,region
5056549,Nodaway County,county,4398678,Missouri,region
4635830,Lawrence County,county,4662168,Tennessee,region
