id,title,description,start,end,duration,category,labels,country,rank,aviation_rank,phq_attendance,geo,local_rank,location,place_hierarchies,scope,first_seen
VLQ5KYGAqZmg,International Day for Biological Diversity,The International Day for Biological Diversity is an occasion to increase the global understanding and awareness of issues and challenges around biodiversity.,2020-05-22 00:00:00+00:00,2020-05-22 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:08+00:00
yWE5JJmVdLJe,National Maritime Day,"National Maritime Day is annually observed in the United States on May 22. It is a time to observe its maritime heritage, to honor those who served as merchant mariners, and to recognize the benefits of the maritime industry.",2020-05-22 00:00:00+00:00,2020-05-22 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:10+00:00
4rkA2Z07Dw1m,Ascension Day,Ascension Day is the 40th day of Easter and commemorates the ascension of Jesus Christ into heaven.,2020-05-21 00:00:00+00:00,2020-05-21 23:59:59+00:00,86399,observances,"['holiday', 'holiday-christian', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:05+00:00
7Rx9fCqP7gpqqPG9CY,International Tea Day,,2020-05-21 00:00:00+00:00,2020-05-21 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:11+00:00
dlOV0oevynOA,World Day for Cultural Diversity for Dialogue and Development,"The World Day for Cultural Diversity for Dialogue and Development, held on May 21, is an occasion for people to deepen their understanding of cultural diversity.",2020-05-21 00:00:00+00:00,2020-05-21 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:06+00:00
5DPJ7xZPrwUHWd6hag,World Bee Day,,2020-05-20 00:00:00+00:00,2020-05-20 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:11+00:00
5dOe6BNBKD9q,Emergency Medical Services for Children Day,"Emergency Medical Services for Children (EMSC) Day is observed on the Wednesday of Emergency Medical Services (EMS) Week, May 19–25, in the United States.",2020-05-20 00:00:00+00:00,2020-05-20 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:03+00:00
Een0zaJ48yej,World Autoimmune / Autoinflammatory Arthritis Day,,2020-05-20 00:00:00+00:00,2020-05-20 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-worldwide']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:00:01+00:00
kGbX5LbGJzVG,Lailat al-Qadr,Laylat al Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.,2020-05-19 00:00:00+00:00,2020-05-19 23:59:59+00:00,86399,observances,"['holiday', 'holiday-muslim', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:59+00:00
jjZqJnQK1kgy,World Information Society Day,World Information Society Day is celebrated each year to raise awareness of how information and communication can be beneficial for societies and economies.,2020-05-17 00:00:00+00:00,2020-05-17 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:58+00:00
