id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
2LGRhd4ZTAHFtdTysF,Summer Session,,2021-05-10 04:00:00+00:00,2021-07-31 03:59:59+00:00,America/New_York,7084799,academic,"['academic', 'academic-session', 'hybrid-session']",US,51,,,1117.0,"[{'entity_id': 'PybDgt32wRPBDymANpjFdW', 'name': 'Florida Agricultural and Mechanical University', 'type': 'venue', 'formatted_address': '1601 South Martin Luther King Junior Boulevard\nTallahassee, FL 32307\nUnited States of America'}]","[-84.285131, 30.426857]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:16:18+00:00,2021-01-26 04:26:47+00:00,,,Florida Agricultural and Mechanical University,-84.285131,30.426857,academic-session,hybrid-session,not_estimated,True
ZGxD9mFQPQ39afjCxJ,Summer Session,,2021-05-10 04:00:00+00:00,2021-07-31 03:59:59+00:00,America/New_York,7084799,academic,"['academic', 'academic-session', 'hybrid-session']",US,62,,,3888.0,"[{'entity_id': 'wEjwmnhbGa9ZZdkBrakmkb', 'name': 'Florida State University', 'type': 'venue', 'formatted_address': '600 W College Ave\nTallahassee, FL 32306\nUnited States of America'}]","[-84.298489, 30.441878]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:17:03+00:00,2021-02-22 03:38:58+00:00,,,Florida State University,-84.298489,30.441878,academic-session,hybrid-session,not_estimated,True
e249DCwy4AxsMbzL5L,Summer Session,,2021-05-06 04:00:00+00:00,2021-08-05 03:59:59+00:00,America/New_York,7862399,academic,"['academic', 'academic-session', 'hybrid-session']",US,54,,,1549.0,"[{'entity_id': 'cYZWN4rzcehFcb3MgPSbQU', 'name': 'Tallahassee Community College', 'type': 'venue', 'formatted_address': '444 Appleyard Drive\nTallahassee, FL 32304\nUnited States of America'}]","[-84.340421, 30.444305]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715'], ['6295630', '6255149', '6252001', '4155751', '4161831', '4178953']]",locality,1.0,active,2020-10-15 22:19:34+00:00,2021-03-01 22:23:33+00:00,,,Tallahassee Community College,-84.340421,30.444305,academic-session,hybrid-session,not_estimated,True
oUnjGLKaeSQGyrJnGs,Summer Break,,2021-05-01 04:00:00+00:00,2021-08-23 03:59:59+00:00,America/New_York,9849599,academic,"['academic', 'holiday']",US,69,,,9081.0,"[{'entity_id': 'cYZWN4rzcehFcb3MgPSbQU', 'name': 'Tallahassee Community College', 'type': 'venue', 'formatted_address': '444 Appleyard Drive\nTallahassee, FL 32304\nUnited States of America'}]","[-84.340421, 30.444305]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715'], ['6295630', '6255149', '6252001', '4155751', '4161831', '4178953']]",locality,1.0,active,2020-10-15 22:19:34+00:00,2020-11-05 22:16:18+00:00,,,Tallahassee Community College,-84.340421,30.444305,holiday,in-person,not_estimated,False
k78fESJ2XTpeijBq7n,Spring Exams,,2021-04-26 04:00:00+00:00,2021-05-01 03:59:59+00:00,America/New_York,431999,academic,"['academic', 'exam', 'hybrid-session']",US,64,,,5166.0,"[{'entity_id': 'cYZWN4rzcehFcb3MgPSbQU', 'name': 'Tallahassee Community College', 'type': 'venue', 'formatted_address': '444 Appleyard Drive\nTallahassee, FL 32304\nUnited States of America'}]","[-84.340421, 30.444305]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715'], ['6295630', '6255149', '6252001', '4155751', '4161831', '4178953']]",locality,1.0,active,2020-10-15 22:19:33+00:00,2021-01-26 04:12:21+00:00,,,Tallahassee Community College,-84.340421,30.444305,exam,hybrid-session,not_estimated,True
jbJ6xDdhuk9r2p9a4u,Summer Break,,2021-04-24 04:00:00+00:00,2021-08-23 03:59:59+00:00,America/New_York,10454399,academic,"['academic', 'estimated', 'holiday']",US,80,,,32250.0,"[{'entity_id': 'wEjwmnhbGa9ZZdkBrakmkb', 'name': 'Florida State University', 'type': 'venue', 'formatted_address': '600 W College Ave\nTallahassee, FL 32306\nUnited States of America'}]","[-84.298489, 30.441878]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:17:03+00:00,2021-03-01 21:57:38+00:00,,,Florida State University,-84.298489,30.441878,holiday,in-person,estimated,False
vBkPiZtJ2Ap2FVnVGB,Summer Break,,2021-04-24 04:00:00+00:00,2021-08-23 03:59:59+00:00,America/New_York,10454399,academic,"['academic', 'holiday']",US,65,,,5624.0,"[{'entity_id': 'PybDgt32wRPBDymANpjFdW', 'name': 'Florida Agricultural and Mechanical University', 'type': 'venue', 'formatted_address': '1601 South Martin Luther King Junior Boulevard\nTallahassee, FL 32307\nUnited States of America'}]","[-84.285131, 30.426857]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:16:17+00:00,2021-01-26 04:26:40+00:00,,,Florida Agricultural and Mechanical University,-84.285131,30.426857,holiday,in-person,not_estimated,False
7V4cCtpVPekUQBKpUg,Spring Exams,,2021-04-19 04:00:00+00:00,2021-04-24 03:59:59+00:00,America/New_York,431999,academic,"['academic', 'exam', 'hybrid-session']",US,61,,,3724.0,"[{'entity_id': 'PybDgt32wRPBDymANpjFdW', 'name': 'Florida Agricultural and Mechanical University', 'type': 'venue', 'formatted_address': '1601 South Martin Luther King Junior Boulevard\nTallahassee, FL 32307\nUnited States of America'}]","[-84.285131, 30.426857]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:16:16+00:00,2021-01-26 04:26:06+00:00,,,Florida Agricultural and Mechanical University,-84.285131,30.426857,exam,hybrid-session,not_estimated,True
RDewTrEyLwjCMs7P7m,Spring Exams,,2021-04-19 04:00:00+00:00,2021-04-24 03:59:59+00:00,America/New_York,431999,academic,"['academic', 'estimated', 'exam', 'hybrid-session']",US,72,,,12961.0,"[{'entity_id': 'wEjwmnhbGa9ZZdkBrakmkb', 'name': 'Florida State University', 'type': 'venue', 'formatted_address': '600 W College Ave\nTallahassee, FL 32306\nUnited States of America'}]","[-84.298489, 30.441878]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715']]",locality,1.0,active,2020-10-15 22:17:02+00:00,2020-11-26 09:07:42+00:00,,,Florida State University,-84.298489,30.441878,exam,hybrid-session,estimated,True
mMKTaMChgyzHuPShXb,Spring Break,,2021-03-13 05:00:00+00:00,2021-03-22 03:59:59+00:00,America/New_York,773999,academic,"['academic', 'holiday']",US,69,,,9081.0,"[{'entity_id': 'cYZWN4rzcehFcb3MgPSbQU', 'name': 'Tallahassee Community College', 'type': 'venue', 'formatted_address': '444 Appleyard Drive\nTallahassee, FL 32304\nUnited States of America'}]","[-84.340421, 30.444305]","[['6295630', '6255149', '6252001', '4155751', '4161831', '4174715'], ['6295630', '6255149', '6252001', '4155751', '4161831', '4178953']]",locality,1.0,active,2020-10-15 22:19:32+00:00,2020-11-05 22:17:55+00:00,,,Tallahassee Community College,-84.340421,30.444305,holiday,in-person,not_estimated,False
