cancelled,category,country,deleted_reason,description,duplicate_of_id,duration,end,first_seen,id,labels,location,place_hierarchies,postponed,relevance,scope,start,state,timezone,title,updated,aviation_rank,brand_safe,entities,local_rank,phq_attendance,predicted_end,private,rank,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
,academic,US,,,,1641599,2021-01-09 05:59:59+00:00,2020-07-23 22:14:56+00:00,NbMs2ghoXoLUuCbeE6,"['academic', 'academic-session', 'online-session']","[-87.880633, 42.062901]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4892793'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4916288']]",,1.0,locality,2020-12-21 06:00:00+00:00,active,America/Chicago,Winter Session,2020-10-21 02:14:53+00:00,,,"[{'entity_id': 'ZFdtd38waw8T8shFq27MFu', 'name': 'Oakton Community College', 'type': 'venue', 'formatted_address': '1600 Golf Road\nDes Plaines, IL 60016\nUnited States of America'}]",,140.0,,False,33,Oakton Community College,-87.880633,42.062901,academic-session,online-session,not_estimated,True
,academic,US,,,,2246399,2021-01-16 05:59:59+00:00,2020-07-23 21:36:46+00:00,PDyDYZ4HUwG2zBepTD,"['academic', 'academic-session', 'online-session']","[-87.837641, 41.691942]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4905263'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-21 06:00:00+00:00,active,America/Chicago,Winter Session,2020-10-21 02:16:09+00:00,,,"[{'entity_id': 'KCKRfPteeQrmLMkhZv5HKx', 'name': 'Moraine Valley Community College', 'type': 'venue', 'formatted_address': 'College Parkway\nPalos Hills, IL 60465\nUnited States of America'}]",,222.0,,False,37,Moraine Valley Community College,-87.837641,41.691942,academic-session,online-session,not_estimated,True
,academic,US,,,,1987199,2021-01-11 05:59:59+00:00,2020-01-30 20:19:40+00:00,6MQSjWUyP3Sn2VKTLc,"['academic', 'holiday']","[-87.337531, 41.556832]","[['6295630', '6255149', '6252001', '4921868', '4922493', '4920738'], ['6295630', '6255149', '6252001', '4921868', '4922493', '4919451']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:21:27+00:00,,,"[{'entity_id': 'Wcpm4j82G49CqC8va8az6b', 'name': 'Indiana University - Northwest', 'type': 'venue', 'formatted_address': '3400 Broadway\nGary, IN 46408\nUnited States of America'}]",,2199.0,,False,57,Indiana University - Northwest,-87.337531,41.556832,holiday,in-person,not_estimated,False
,academic,US,,,,1987199,2021-01-11 05:59:59+00:00,2020-10-18 22:38:07+00:00,7u6qMVPbAppdcimb8h,"['academic', 'holiday']","[-87.47356, 41.580853]","[['6295630', '6255149', '6252001', '4921868', '4922493', '4919451'], ['6295630', '6255149', '6252001', '4921868', '4922493', '4924531']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-10-18 22:41:30+00:00,,,"[{'entity_id': 'jNFHkJrpTDWuSgizjbQmep', 'name': 'Purdue University Northwest - Hammond Campus', 'type': 'venue', 'formatted_address': '2200 169th Street\nHammond, IN 46323\nUnited States of America'}]",,6709.0,,False,67,Purdue University Northwest - Hammond Campus,-87.47356,41.580853,holiday,in-person,not_estimated,False
,academic,US,,,,1382399,2021-01-04 05:59:59+00:00,2020-07-23 21:35:51+00:00,Js4AjvgJuExsigxERV,"['academic', 'holiday']","[-88.007669, 41.833189]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4895866'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4916288']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:17:12+00:00,,,"[{'entity_id': '35en8XWWgR6HfdQfR7c3xwW', 'name': 'Chamberlain University - Illinois', 'type': 'venue', 'formatted_address': '3005 Highland Parkway\nDowners Grove, IL 60515\nUnited States of America'}]",,2866.0,,False,59,Chamberlain University - Illinois,-88.007669,41.833189,holiday,in-person,not_estimated,False
,academic,US,,,,3196799,2021-01-25 05:59:59+00:00,2020-07-23 22:08:33+00:00,LJ28T4J8VxYkdEge3c,"['academic', 'holiday']","[-87.624444, 41.874226]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:20:36+00:00,,,"[{'entity_id': 'cGTQDjm24PmvJL8nePCFcK', 'name': 'Columbia College Chicago', 'type': 'venue', 'formatted_address': '600 South Michigan Avenue\nChicago, IL 60605\nUnited States of America'}]",,6708.0,,False,67,Columbia College Chicago,-87.624444,41.874226,holiday,in-person,not_estimated,False
,academic,US,,,,1987199,2021-01-11 05:59:59+00:00,2020-07-23 22:13:02+00:00,XHDtydjbWXpVcyG7eG,"['academic', 'holiday']","[-88.080561, 41.60503]","[['6295630', '6255149', '6252001', '4896861', '4916565', '4898015'], ['6295630', '6255149', '6252001', '4896861', '4916565', '7151323']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:25:00+00:00,,,"[{'entity_id': '9pmANF8QkM7ytsamBDawhf', 'name': 'Lewis University', 'type': 'venue', 'formatted_address': '1 University Parkway\nRomeoville, IL 60446\nUnited States of America'}]",,4273.0,,False,63,Lewis University,-88.080561,41.60503,holiday,in-person,not_estimated,False
,academic,US,,,,2678399,2021-01-19 05:59:59+00:00,2020-07-23 22:06:53+00:00,rLATiLvTpPEdCgCyVa,"['academic', 'holiday']","[-88.095268, 41.778442]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4916288'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4900080']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:25:35+00:00,,,"[{'entity_id': 'JCRMtJn4D6LudkM47wgQnB', 'name': 'Benedictine University', 'type': 'venue', 'formatted_address': '5700 College Road\nLisle, IL 60532\nUnited States of America'}]",,2717.0,,False,59,Benedictine University,-88.095268,41.778442,holiday,in-person,not_estimated,False
,academic,US,,,,3196799,2021-01-25 05:59:59+00:00,2020-07-23 21:33:35+00:00,tFqVkqkJYERnsh35Na,"['academic', 'holiday']","[-88.072975, 41.841196]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4892996'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4916288']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:20:06+00:00,,,"[{'entity_id': 'FzLZUYQRyyaNfJ2zaD4JY9', 'name': 'College of DuPage', 'type': 'venue', 'formatted_address': '425 Fawell Boulevard\nGlen Ellyn, IL 60137\nUnited States of America'}]",,13677.0,,False,73,College of DuPage,-88.072975,41.841196,holiday,in-person,not_estimated,False
,academic,US,,,,2851199,2021-01-19 05:59:59+00:00,2020-07-23 22:14:55+00:00,x2JL2WMeRxpUoTcghV,"['academic', 'holiday']","[-87.880633, 42.062901]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4892793'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4916288']]",,1.0,locality,2020-12-17 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:13:25+00:00,,,"[{'entity_id': 'ZFdtd38waw8T8shFq27MFu', 'name': 'Oakton Community College', 'type': 'venue', 'formatted_address': '1600 Golf Road\nDes Plaines, IL 60016\nUnited States of America'}]",,4537.0,,False,63,Oakton Community College,-87.880633,42.062901,holiday,in-person,not_estimated,False
