id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
9WD5wkzpE3NUB2UvPP,Summer Session,,2021-06-02 05:00:00+00:00,2021-07-25 04:59:59+00:00,America/Chicago,4579199,academic,"['academic', 'academic-session', 'estimated']",US,63,,,4461.0,"[{'entity_id': 'kjWXNvMsCemNExApReDM83', 'name': 'Malcolm X College', 'type': 'venue', 'formatted_address': '1900 West Jackson Boulevard\nChicago, IL 60612\nUnited States of America'}]","[-87.674688, 41.877876]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:11:54+00:00,2020-09-03 22:26:03+00:00,,,Malcolm X College,-87.674688,41.877876,academic-session,in-person,estimated,True
XKSSqfhpsutoJWQjnS,Summer Session,,2021-06-02 05:00:00+00:00,2021-07-25 04:59:59+00:00,America/Chicago,4579199,academic,"['academic', 'academic-session', 'estimated']",US,66,,,5986.0,"[{'entity_id': 'VWsjmjqzbTFiWhA6a78x5k', 'name': 'Wilbur Wright College - City Colleges of Chicago', 'type': 'venue', 'formatted_address': '4300 North Narragansett Avenue\nChicago, IL 60634\nUnited States of America'}]","[-87.78775, 41.958238]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4890318']]",locality,1.0,active,2020-07-23 21:33:14+00:00,2020-09-03 22:18:41+00:00,,,Wilbur Wright College - City Colleges of Chicago,-87.78775,41.958238,academic-session,in-person,estimated,True
obzc3YtVcY9pUg6Ps9,Summer Session,,2021-06-02 05:00:00+00:00,2021-07-25 04:59:59+00:00,America/Chicago,4579199,academic,"['academic', 'academic-session', 'estimated']",US,63,,,4370.0,"[{'entity_id': '7qHgv6cPEpEBqUKC4tEGJ8', 'name': 'Truman College', 'type': 'venue', 'formatted_address': '1145 West Wilson Avenue\nChicago, IL 60640\nUnited States of America'}]","[-87.658964, 41.964737]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:11:34+00:00,2020-09-03 22:25:57+00:00,,,Truman College,-87.658964,41.964737,academic-session,in-person,estimated,True
qArLqGHnki3zcyiks8,Summer Session,,2021-06-02 05:00:00+00:00,2021-07-25 04:59:59+00:00,America/Chicago,4579199,academic,"['academic', 'academic-session', 'estimated']",US,65,,,5836.0,"[{'entity_id': 'SLPHTKkiJKhB5x2pRkXWzc', 'name': 'Harold Washington College, City College of Chicago', 'type': 'venue', 'formatted_address': '30 East Lake Street\nChicago, IL 60601\nUnited States of America'}]","[-87.626848, 41.886073]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:08:14+00:00,2020-09-03 22:28:17+00:00,,,"Harold Washington College, City College of Chicago",-87.626848,41.886073,academic-session,in-person,estimated,True
LCAgk4VdSpFpEPa7nm,Summer Session,,2021-06-01 05:00:00+00:00,2021-08-22 04:59:59+00:00,America/Chicago,7084799,academic,"['academic', 'academic-session', 'online-session']",US,36,,,210.0,"[{'entity_id': 'cGTQDjm24PmvJL8nePCFcK', 'name': 'Columbia College Chicago', 'type': 'venue', 'formatted_address': '600 South Michigan Avenue\nChicago, IL 60605\nUnited States of America'}]","[-87.624444, 41.874226]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:08:37+00:00,2021-03-01 22:27:53+00:00,,,Columbia College Chicago,-87.624444,41.874226,academic-session,online-session,not_estimated,True
ToaMVQ9CXaHJF95NEJ,Summer Session,,2021-06-01 05:00:00+00:00,2021-08-12 04:59:59+00:00,America/Chicago,6220799,academic,"['academic', 'academic-session', 'estimated', 'hybrid-session']",US,61,,,3366.0,"[{'entity_id': 'Uqgn58aTzcjYinH8gFEV2k', 'name': 'Triton College', 'type': 'venue', 'formatted_address': '2000 5th Avenue\nRiver Grove, IL 60171\nUnited States of America'}]","[-87.841257, 41.915619]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4907649']]",locality,1.0,active,2020-07-23 21:39:20+00:00,2021-02-22 03:36:26+00:00,,,Triton College,-87.841257,41.915619,academic-session,hybrid-session,estimated,True
AfgFGaFtWCuNVRuaP7,Summer Session,,2021-05-24 05:00:00+00:00,2021-08-15 04:59:59+00:00,America/Chicago,7171199,academic,"['academic', 'academic-session', 'hybrid-session']",US,42,,,377.0,"[{'entity_id': 'qmgnxQEmGMxGuMKgJvjj4t', 'name': 'Illinois Institute of Technology', 'type': 'venue', 'formatted_address': '10 West 35th Street\nChicago, IL 60616\nUnited States of America'}]","[-87.627006, 41.834873]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:11:15+00:00,2021-03-01 21:57:03+00:00,,,Illinois Institute of Technology,-87.627006,41.834873,academic-session,hybrid-session,not_estimated,True
Um4ZD7sfPvtr9HXcxk,Summer Session,,2021-05-24 05:00:00+00:00,2021-08-14 04:59:59+00:00,America/Chicago,7084799,academic,"['academic', 'academic-session', 'online-session']",US,41,,,348.0,"[{'entity_id': 'YyVPsJ8p2pCxcgBHcU6Zck', 'name': 'Loyola University Chicago', 'type': 'venue', 'formatted_address': '1032 West Sheridan Road\nChicago, IL 60660\nUnited States of America'}]","[-87.658258, 41.998776]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:36:23+00:00,2021-02-22 03:37:03+00:00,,,Loyola University Chicago,-87.658258,41.998776,academic-session,online-session,not_estimated,True
stxDQACiwqvKbsuSYf,Summer Session,,2021-05-24 05:00:00+00:00,2021-08-07 04:59:59+00:00,America/Chicago,6479999,academic,"['academic', 'academic-session', 'online-session']",US,37,,,222.0,"[{'entity_id': 'KCKRfPteeQrmLMkhZv5HKx', 'name': 'Moraine Valley Community College', 'type': 'venue', 'formatted_address': 'College Parkway\nPalos Hills, IL 60465\nUnited States of America'}]","[-87.837641, 41.691942]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4905263'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:36:50+00:00,2021-01-26 04:29:34+00:00,,,Moraine Valley Community College,-87.837641,41.691942,academic-session,online-session,not_estimated,True
mHQX9o4nbLF75TQgof,Moraine Valley Community College - Spring Graduation,,2021-05-21 22:00:00+00:00,2021-05-21 22:00:00+00:00,America/Chicago,0,academic,"['academic', 'graduation']",US,61,,,3600.0,"[{'entity_id': 'MA4hKkvQMHDtLBkeW7uvR4', 'name': 'Cyclone Center', 'type': 'venue', 'formatted_address': '9000 College Parkway\nPalos Hills, IL 60465\nUnited States of America'}]","[-87.841632, 41.691485]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4905263']]",locality,1.0,active,2020-07-23 21:36:50+00:00,2021-03-19 13:58:13+00:00,,,Cyclone Center,-87.841632,41.691485,graduation,in-person,not_estimated,True
