cancelled,category,country,deleted_reason,description,duplicate_of_id,duration,end,first_seen,id,labels,location,place_hierarchies,postponed,relevance,scope,start,state,timezone,title,updated,aviation_rank,brand_safe,entities,local_rank,phq_attendance,predicted_end,private,rank,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 22:08:11+00:00,gJrkf9r546vgBKRwM4,"['academic', 'holiday']","[-87.626848, 41.886073]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:13:47+00:00,,,"[{'entity_id': 'SLPHTKkiJKhB5x2pRkXWzc', 'name': 'Harold Washington College, City College of Chicago', 'type': 'venue', 'formatted_address': '30 East Lake Street\nChicago, IL 60601\nUnited States of America'}]",,5836.0,,False,65,"Harold Washington College, City College of Chicago",-87.626848,41.886073,holiday,in-person,not_estimated,False
,academic,US,,,,2073599,2021-01-04 05:59:59+00:00,2020-07-23 22:14:30+00:00,JSnAyKhAxRds6G6AAZ,"['academic', 'holiday']","[-87.718705, 41.980434]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4910614']]",,1.0,locality,2020-12-11 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:31:50+00:00,,,"[{'entity_id': 'wS8cugTpuBuGwJWbj8zbRL', 'name': 'Northeastern Illinois University', 'type': 'venue', 'formatted_address': '5500 North Saint Louis Avenue\nChicago, IL 60625\nUnited States of America'}]",,3973.0,,False,62,Northeastern Illinois University,-87.718705,41.980434,holiday,in-person,not_estimated,False
,academic,US,,,,3369599,2021-01-19 05:59:59+00:00,2020-07-23 21:39:16+00:00,dm7Qm4RfcdAnb3cbrC,"['academic', 'estimated', 'holiday']","[-87.841257, 41.915619]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4907649']]",,1.0,locality,2020-12-11 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:20:53+00:00,,,"[{'entity_id': 'Uqgn58aTzcjYinH8gFEV2k', 'name': 'Triton College', 'type': 'venue', 'formatted_address': '2000 5th Avenue\nRiver Grove, IL 60171\nUnited States of America'}]",,7578.0,,False,68,Triton College,-87.841257,41.915619,holiday,in-person,estimated,False
,academic,US,,,,3369599,2021-01-19 05:59:59+00:00,2020-07-23 21:36:46+00:00,yf2eRVuZT3576c3gcL,"['academic', 'holiday']","[-87.837641, 41.691942]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4905263'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-11 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:29:14+00:00,,,"[{'entity_id': 'KCKRfPteeQrmLMkhZv5HKx', 'name': 'Moraine Valley Community College', 'type': 'venue', 'formatted_address': 'College Parkway\nPalos Hills, IL 60465\nUnited States of America'}]",,7067.0,,False,67,Moraine Valley Community College,-87.837641,41.691942,holiday,in-person,not_estimated,False
,academic,US,,,,2246399,2021-01-04 05:59:59+00:00,2020-07-23 21:37:45+00:00,Q7MsXNFBDH7CD25hSq,"['academic', 'holiday']","[-87.675267, 42.056459]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4916732', '4903898', '4891382'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-09 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:20:25+00:00,,,"[{'entity_id': 'vDgh2mmh2VirueUhbkWdzv', 'name': 'Northwestern University', 'type': 'venue', 'formatted_address': '633 Clark Street\nEvanston, IL 60208\nUnited States of America'}]",,8162.0,,False,68,Northwestern University,-87.675267,42.056459,holiday,in-person,not_estimated,False
,academic,US,,,,259199,2020-12-11 05:59:59+00:00,2020-07-23 22:14:28+00:00,CDQSVZsu6ujqiXFbJ7,"['academic', 'exam', 'online-session']","[-87.718705, 41.980434]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4910614']]",,1.0,locality,2020-12-08 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-10-21 01:58:47+00:00,,,"[{'entity_id': 'wS8cugTpuBuGwJWbj8zbRL', 'name': 'Northeastern Illinois University', 'type': 'venue', 'formatted_address': '5500 North Saint Louis Avenue\nChicago, IL 60625\nUnited States of America'}]",,490.0,,False,44,Northeastern Illinois University,-87.718705,41.980434,exam,online-session,not_estimated,True
,academic,US,,,,431999,2020-12-12 05:59:59+00:00,2020-07-23 21:39:45+00:00,DGSzxjAB2Lm7G8KfgY,"['academic', 'exam', 'online-session']","[-87.658001, 41.87521]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-07 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-10-21 01:56:35+00:00,,,"[{'entity_id': 'QJjfX3mJEReLU4USjyzyKc', 'name': 'University Of Illinois At Chicago', 'type': 'venue', 'formatted_address': '1200 West Harrison Street\nChicago, IL 60607\nUnited States of America'}]",,2020.0,,False,56,University Of Illinois At Chicago,-87.658001,41.87521,exam,online-session,not_estimated,True
,academic,US,,,,431999,2020-12-12 05:59:59+00:00,2020-07-23 22:11:11+00:00,DkrNdYQJ2itajnEo4d,"['academic', 'exam', 'hybrid-session']","[-87.627006, 41.834873]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-07 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-10-21 02:05:01+00:00,,,"[{'entity_id': 'qmgnxQEmGMxGuMKgJvjj4t', 'name': 'Illinois Institute of Technology', 'type': 'venue', 'formatted_address': '10 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",,1257.0,,False,52,Illinois Institute of Technology,-87.627006,41.834873,exam,hybrid-session,not_estimated,True
,academic,US,,,,431999,2020-12-12 05:59:59+00:00,2020-07-23 21:36:18+00:00,NhTmYG95Xbzo4s7p67,"['academic', 'exam', 'online-session']","[-87.658258, 41.998776]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-07 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-10-21 01:55:18+00:00,,,"[{'entity_id': 'YyVPsJ8p2pCxcgBHcU6Zck', 'name': 'Loyola University Chicago', 'type': 'venue', 'formatted_address': '1032 West Sheridan Road\nChicago, IL 60660\nUnited States of America'}]",,0.0,,False,0,Loyola University Chicago,-87.658258,41.998776,exam,online-session,not_estimated,True
,academic,US,,,,345599,2020-12-11 05:59:59+00:00,2020-07-23 21:39:15+00:00,TURNgjBAwuiyA947Ai,"['academic', 'estimated', 'exam', 'online-session']","[-87.841257, 41.915619]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4907649']]",,1.0,locality,2020-12-07 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-10-21 02:00:43+00:00,,,"[{'entity_id': 'Uqgn58aTzcjYinH8gFEV2k', 'name': 'Triton College', 'type': 'venue', 'formatted_address': '2000 5th Avenue\nRiver Grove, IL 60171\nUnited States of America'}]",,842.0,,False,49,Triton College,-87.841257,41.915619,exam,online-session,estimated,True
