id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
LxRK29kWZZ34p9vAua,Spring Session,,2021-01-19 06:00:00+00:00,2021-05-15 04:59:59+00:00,America/Chicago,10018799,academic,"['academic', 'academic-session', 'online-session']",US,38,,,241.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:05+00:00,2021-01-26 04:44:14+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,online-session,not_estimated,True
Hw2UsTNm9F7u5GpBMS,Winter Break,,2020-12-17 06:00:00+00:00,2021-01-19 05:59:59+00:00,America/Chicago,2851199,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:34+00:00,2020-11-10 01:48:51+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
kxbUL8j9Z8T3nM24A9,Winter Break,,2020-12-12 06:00:00+00:00,2021-01-19 05:59:59+00:00,America/Chicago,3283199,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:04+00:00,2020-10-06 21:38:07+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
aQLbNVWyYAhezkCf2s,Fall Exams,,2020-12-10 06:00:00+00:00,2020-12-17 05:59:59+00:00,America/Chicago,604799,academic,"['academic', 'exam', 'hybrid-session']",US,76,,,20732.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:33+00:00,2020-11-10 01:48:22+00:00,,,The University of Texas at Austin,-97.734057,30.284918,exam,hybrid-session,not_estimated,True
JtYyYtzTarKc6VapCp,The University of Texas at Austin - Fall Graduation,,2020-12-05 06:00:00+00:00,2020-12-06 05:59:59+00:00,America/Chicago,86399,academic,"['academic', 'graduation']",US,59,,,2900.0,"[{'entity_id': 'xH33ACXDHdVgA7aP6JSZtZ', 'name': 'Bass Concert Hall', 'type': 'venue', 'formatted_address': '2350 Robert Dedman Drive\nAustin, TX 78712\nUnited States of America'}]","[-97.731236, 30.286095]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:34+00:00,2020-09-03 22:18:53+00:00,,,Bass Concert Hall,-97.731236,30.286095,graduation,in-person,not_estimated,True
nTYM3q2aHvG5Tz6KJL,Thanksgiving Break,,2020-11-26 06:00:00+00:00,2020-11-30 05:59:59+00:00,America/Chicago,345599,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:03+00:00,2020-10-07 12:59:39+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
dcnR2pZwk5ctTKmMKf,Thanksgiving Break,,2020-11-25 06:00:00+00:00,2020-11-30 05:59:59+00:00,America/Chicago,431999,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:33+00:00,2020-11-10 01:48:29+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
T4LqSe8PuarzX8D9rt,Fall Session,,2020-08-26 05:00:00+00:00,2020-12-08 05:59:59+00:00,America/Chicago,8989199,academic,"['academic', 'academic-session', 'hybrid-session']",US,76,,,20732.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:32+00:00,2020-11-10 01:48:54+00:00,,,The University of Texas at Austin,-97.734057,30.284918,academic-session,hybrid-session,not_estimated,True
fkgbKSedD4PpY5P9Gr,Fall Session,,2020-08-24 05:00:00+00:00,2020-12-12 05:59:59+00:00,America/Chicago,9507599,academic,"['academic', 'academic-session', 'online-session']",US,38,,,241.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:03+00:00,2020-10-21 01:56:51+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,online-session,not_estimated,True
jMZUzivVgULApAbNuP,Summer Session,,2020-06-04 05:00:00+00:00,2020-08-18 04:59:59+00:00,America/Chicago,6479999,academic,"['academic', 'academic-session']",US,74,,,15549.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:31+00:00,2020-11-10 01:48:39+00:00,,,The University of Texas at Austin,-97.734057,30.284918,academic-session,in-person,not_estimated,True
