id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
DxhtFP55SSVMcjS7q8,Cats,performing-arts,,0,2019-08-05 00:30:00+00:00,2019-08-05 00:30:00+00:00,,2019-07-26 03:35:43+00:00,['performing-arts'],"[-87.628765, 41.884561]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'BNpi2Sd3sANZNkmLPx7k54', 'name': 'James M Nederlander Theatre', 'type': 'venue', 'formatted_address': '24 West Randolph Street\nChicago, IL 60601\nUnited States of America'}]",1365,53,61,
fKvSyNoBhx24MGmHAJ,Cats (Chicago),performing-arts,,0,2019-08-04 19:00:00+00:00,2019-08-04 19:00:00+00:00,,2018-10-08 04:29:01+00:00,"['entertainment', 'music', 'performing-arts']","[-87.628765, 41.884561]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'BNpi2Sd3sANZNkmLPx7k54', 'name': 'James M Nederlander Theatre', 'type': 'venue', 'formatted_address': '24 West Randolph Street\nChicago, IL 60601\nUnited States of America'}]",1365,53,61,
oi8EQ9w46mqhLYfk3Z,Hamilton,performing-arts,"Hamilton
The PrivateBank Theatre, Chicago, IL",0,2019-08-04 19:00:00+00:00,2019-08-04 19:00:00+00:00,,2019-07-21 22:07:54+00:00,['performing-arts'],"[-87.628487, 41.880869]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'vSydgFcQwj83KfPFhv8qWn', 'name': 'The PrivateBank Theatre', 'type': 'venue', 'formatted_address': '18 West Monroe Street\nChicago, IL 60603\nUnited States of America'}]",1075,51,59,
NaF2C5znxy2WagHa6T,The Basketball Tournament Semifinals,sports,TBT Championship Week in Chicago will feature the final 8 teams (out of a field of 64) from across the country competing for the $2 Million winner-take-all prize! Catch the incredible action live this summer for the highest stakes basketball tournament in the world!,0,2019-08-04 16:00:00+00:00,2019-08-04 16:00:00+00:00,2019-08-04 17:45:00+00:00,2019-05-26 09:39:47+00:00,"['basketball', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",2277,57,68,0.0
jDA44aaR2L4Q,Chicago Collective,expos,,198000,2019-08-04 13:00:00+00:00,2019-08-06 20:00:00+00:00,,2017-07-27 06:45:55+00:00,"['clothing', 'expo', 'fashion']","[-87.635444, 41.888543]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7dNTrX9RxKZMvkSGiNynMp', 'name': 'The Mart', 'type': 'venue', 'formatted_address': '222 West Merchandise Mart Plaza #470\nChicago, IL 60654\nUnited States of America'}, {'entity_id': '38R7TWpb4fic2KYRq3wqxBP', 'name': 'Chicago Collective', 'type': 'event-group', 'formatted_address': '222 W Merchandise Mart Plaza #470 Chicago IL 60654'}]",50000,84,93,68.0
qFJkCUgCnyBYLskXzk,Lollapalooza Aftershow,community,,0,2019-08-04 04:00:00+00:00,2019-08-04 04:00:00+00:00,,2019-08-05 04:29:54+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,
cR7waYsqJUpUqczaT6,Andrew Emil,concerts,,0,2019-08-04 03:00:00+00:00,2019-08-04 03:00:00+00:00,,2019-06-06 03:49:44+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,0.0
2bZrSxstuxw8Be9yvh,Hamilton,performing-arts,"Hamilton
The PrivateBank Theatre, Chicago, IL",0,2019-08-04 01:00:00+00:00,2019-08-04 01:00:00+00:00,,2019-07-20 09:10:13+00:00,['performing-arts'],"[-87.628487, 41.880869]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'vSydgFcQwj83KfPFhv8qWn', 'name': 'The PrivateBank Theatre', 'type': 'venue', 'formatted_address': '18 West Monroe Street\nChicago, IL 60603\nUnited States of America'}]",1075,51,59,
qbXRkkTtAeWkhwR8Qd,Cats (Chicago),performing-arts,,0,2019-08-04 01:00:00+00:00,2019-08-04 01:00:00+00:00,,2018-10-08 04:25:38+00:00,"['entertainment', 'music', 'performing-arts']","[-87.628765, 41.884561]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'BNpi2Sd3sANZNkmLPx7k54', 'name': 'James M Nederlander Theatre', 'type': 'venue', 'formatted_address': '24 West Randolph Street\nChicago, IL 60601\nUnited States of America'}]",1365,53,61,
tKHPsBzV6JwryiWMCk,Come From Away (Chicago),performing-arts,,0,2019-08-04 01:00:00+00:00,2019-08-04 01:00:00+00:00,,2019-02-16 06:15:32+00:00,"['entertainment', 'music', 'performing-arts']","[-87.633038, 41.884197]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '3wyTQaVW5h4JJGw9zQ5TvZ', 'name': 'Cadillac Palace Theatre', 'type': 'venue', 'formatted_address': '151 West Randolph Street\nChicago, IL 60601\nUnited States of America'}]",1506,54,63,
