id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
VsAjqFJw2mVVuAboVP,Spring Fling,expos,known to be the largest and the most important show for the professionals and dealers who trade in outdoor furnishing accessories. The attendees coming from all over the world will get to interact with the experts in this segment which results in widen the respective marketing networks and increasing the surplus levels.,259199,2020-09-03 05:00:00+00:00,2020-09-06 04:59:59+00:00,,2020-04-10 10:36:12+00:00,"['business', 'expo']","[-87.619426, 41.889885]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'V2VNzDg247MEdfJuei6brH', 'name': 'Loews Chicago Hotel', 'type': 'venue', 'formatted_address': '455 North Park Drive\nChicago, IL 60611\nUnited States of America'}]",3360,61,66,47.0
Y5LV8BvgyVGPMXeJUn,CISO Chicago Summit,conferences,,32400,2020-03-12 14:00:00+00:00,2020-03-12 23:00:00+00:00,,2019-12-05 23:02:18+00:00,"['conference', 'education', 'technology']","[-87.628349, 41.879611]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'dDcqNjvVjgzE8j7GN7ty5k', 'name': 'Convene', 'type': 'venue', 'formatted_address': '131 South Dearborn St, 2nd Floor\nChicago, IL 60603\nUnited States of America'}]",5000,64,72,0.0
yf3BYG6xpZtuuYcHrA,We Came As Romans: To Plant a Seed 10 Year Anniversary Tour,community,"Doors open at 5PM. Performance begins at 5:30PM. This is an All Ages event subject to parental discretion. House of Blues Chicago is a standing room only venue, all tickets are General Admission unless otherwise stated. *All support acts are subject to change without notice.*",0,2020-03-05 23:00:00+00:00,2020-03-05 23:00:00+00:00,,2019-12-02 06:31:50+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,
bjiuWkyBR9WNemXDmi,Trinity Irish Dance,performing-arts,,0,2020-03-01 01:30:00+00:00,2020-03-01 01:30:00+00:00,,2019-04-02 03:30:20+00:00,"['entertainment', 'performing-arts']","[-87.625113, 41.875824]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'ZWjCGvqwmQzeS39FCZPcQC', 'name': 'Auditorium Theatre', 'type': 'venue', 'formatted_address': '50 East Ida B. Wells Drive\nChicago, IL 60605\nUnited States of America'}]",2335,57,64,
4JMjyxcwFHnK7q3h63,Dashboard Confessional with The Get Up Kids,concerts,,0,2020-03-01 00:00:00+00:00,2020-03-01 00:00:00+00:00,,2019-09-17 18:15:43+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,0.0
8ZPW3Qr67jtMvZbYDf,Trinity Irish Dance,performing-arts,,0,2020-02-29 20:00:00+00:00,2020-02-29 20:00:00+00:00,,2019-04-02 03:29:32+00:00,"['entertainment', 'performing-arts']","[-87.625113, 41.875824]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'ZWjCGvqwmQzeS39FCZPcQC', 'name': 'Auditorium Theatre', 'type': 'venue', 'formatted_address': '50 East Ida B. Wells Drive\nChicago, IL 60605\nUnited States of America'}]",2335,57,64,
yfFcwfxwsNEXobZdKn,Nick Jr. Live! Move to the Music,performing-arts,,0,2020-02-29 20:00:00+00:00,2020-02-29 20:00:00+00:00,,2019-09-06 05:34:08+00:00,"['entertainment', 'performing-arts']","[-87.627572, 41.88548]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'UniKDgC373FLJBdMmghKZc', 'name': 'The Chicago Theatre', 'type': 'venue', 'formatted_address': '175 North State Street\nChicago, IL 60601\nUnited States of America'}]",2167,57,65,
VcUrw8dJQuJWBdwR9m,Nick Jr. Live! Move to the Music,performing-arts,,0,2020-02-29 16:30:00+00:00,2020-02-29 16:30:00+00:00,,2019-09-06 05:46:11+00:00,"['entertainment', 'performing-arts']","[-87.627572, 41.88548]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'UniKDgC373FLJBdMmghKZc', 'name': 'The Chicago Theatre', 'type': 'venue', 'formatted_address': '175 North State Street\nChicago, IL 60601\nUnited States of America'}]",2167,57,65,
FTYJiThfoctRo5bX8Z,Dashboard Confessional with Piebald,concerts,,0,2020-02-29 00:00:00+00:00,2020-02-29 00:00:00+00:00,,2019-09-17 18:15:37+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,0.0
mnB7Gc3MwVQxKa43QF,C2E2,festivals,"C2E2 2019 is the comic, cosplay and pop culture convention in the heart of downtown. With incredible celebrities, unique exhibitors, amazing comic artists and epic literary authors, we never let fans down for having a great time to get autograph, interact to top exhibitors, contemplate panels, screening rooms, cosplay and do workshops. Whether you're a fan of comic books, cosplay, video games, anime, TV shows, movies, books, wrestling, comedy, or anything else - C2E2 is your home for good and geeky times.",176400,2020-02-28 16:00:00+00:00,2020-03-01 17:00:00+00:00,,2020-01-17 11:36:03+00:00,"['comic', 'entertainment', 'festival']","[-87.629798, 41.878114]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,[],90000,89,98,0.0
