id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
jaradNgifLWoKKJqEC,Chicago Shoe Market,expos,,118800,2019-08-28 14:00:00+00:00,2019-08-29 23:00:00+00:00,,2018-09-15 02:50:51+00:00,"['expo', 'fashion']","[-87.619981, 41.891407]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,[],20000,76,81,54
GK4TzKqwRzsc34dnMU,Chicago Fabric Show,expos,,118800,2019-08-27 14:00:00+00:00,2019-08-28 23:00:00+00:00,,2018-09-23 13:19:10+00:00,"['education', 'expo']","[-87.627428, 41.880604]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'YPJSZfX34wsyvHYGrbsUap', 'name': 'Palmer House', 'type': 'venue', 'formatted_address': '17 East Monroe Street\nChicago, IL 60603\nUnited States of America'}, {'entity_id': 'mnSWcGz6JBqk3FJJ9LEAyx', 'name': 'The Fabric and Trim Show Chicago', 'type': 'event-group', 'formatted_address': '17 E Monroe St, Chicago, IL 60603'}]",5000,64,72,45
EFjUWPVXSdhNkDe6gJ,Washington Nationals vs Chicago Cubs,sports,,16616,2019-08-25 18:20:00+00:00,2019-08-25 22:56:56+00:00,,2018-10-30 18:38:19+00:00,"['baseball', 'mlb', 'sport']","[-87.655333, 41.948438]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7gWzJbvTe5if3ukAaZ5Pn3', 'name': 'Wrigley Field', 'type': 'venue', 'formatted_address': '1060 West Addison Street\nChicago, IL 60613\nUnited States of America'}]",40518,82,90,69
H8qrV8DY2rTbBSpW4g,Texas Rangers vs Chicago White Sox,sports,,10822,2019-08-25 18:10:00+00:00,2019-08-25 21:10:22+00:00,,2018-10-30 18:39:00+00:00,"['baseball', 'mlb', 'sport']","[-87.633752, 41.829902]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'K7HL2ji8XsSh7P2wmqiyBH', 'name': 'Guaranteed Rate Field', 'type': 'venue', 'formatted_address': '333 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",25553,78,92,63
Ny8qWuXEKhZmoxGngK,Badger State Bridal Expo Gurnee,expos,,32400,2019-08-25 14:00:00+00:00,2019-08-25 23:00:00+00:00,,2019-07-19 01:46:27+00:00,"['clothing', 'expo', 'fashion']","[-87.863406, 41.9799]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908179']]",America/Chicago,"[{'entity_id': 'MiSkdZVp5pBSEB435X8KfY', 'name': ""Hilton Rosemont/Chicago O'Hare"", 'type': 'venue', 'formatted_address': '5550 North River Road\nRosemont, IL 60018\nUnited States of America'}]",1000,50,66,40
WqenDKMmGhe96Lz3QP,National Bridal Market Chicago,expos,,201600,2019-08-25 14:00:00+00:00,2019-08-27 22:00:00+00:00,,2019-04-23 06:45:25+00:00,"['clothing', 'expo', 'fashion']","[-87.635444, 41.888543]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7dNTrX9RxKZMvkSGiNynMp', 'name': 'The Mart', 'type': 'venue', 'formatted_address': '222 West Merchandise Mart Plaza #470\nChicago, IL 60654\nUnited States of America'}, {'entity_id': 'Cf6euPtEd8vPnAXqge6yAF', 'name': 'National Bridal Market Chicago', 'type': 'event-group', 'formatted_address': '222 W Merchandise Mart Plaza #470 Chicago IL 60654'}]",8000,68,77,50
zV3YgQYW5xGG,Windy City Wedding Show Chicago,expos,,32400,2019-08-25 14:00:00+00:00,2019-08-25 23:00:00+00:00,,2017-07-27 07:29:51+00:00,"['clothing', 'expo', 'fashion']","[-87.863406, 41.9799]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908179']]",America/Chicago,"[{'entity_id': 'XYxTWuxn9iVmDECaFQbiZ7', 'name': 'Windy City Wedding Show Chicago', 'type': 'event-group', 'formatted_address': '5500 N River Rd Rosemont IL 60018'}, {'entity_id': 'MiSkdZVp5pBSEB435X8KfY', 'name': ""Hilton Rosemont/Chicago O'Hare"", 'type': 'venue', 'formatted_address': '5550 North River Road\nRosemont, IL 60018\nUnited States of America'}]",5000,64,80,44
QPukZD3EicJCKKt8pU,Texas Rangers vs Chicago White Sox,sports,,11221,2019-08-24 23:10:00+00:00,2019-08-25 02:17:01+00:00,,2018-10-30 18:39:00+00:00,"['baseball', 'mlb', 'sport']","[-87.633752, 41.829902]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'K7HL2ji8XsSh7P2wmqiyBH', 'name': 'Guaranteed Rate Field', 'type': 'venue', 'formatted_address': '333 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",26454,78,92,63
qJpCxk23dJiVbSZj3H,Washington Nationals vs Chicago Cubs,sports,,14282,2019-08-24 18:20:00+00:00,2019-08-24 22:18:02+00:00,,2018-11-01 00:40:49+00:00,"['baseball', 'mlb', 'sport']","[-87.655333, 41.948438]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7gWzJbvTe5if3ukAaZ5Pn3', 'name': 'Wrigley Field', 'type': 'venue', 'formatted_address': '1060 West Addison Street\nChicago, IL 60613\nUnited States of America'}]",40658,82,90,69
5tnsxZzaypQEybANnL,"The International Gem & Jewelry Show - Chicago, IL",expos,"The International Gem & Jewelry Show - Chicago, ILAugust 23-25, 2019
Show Hours:
Friday, August 23: 12PM-6PMSaturday, August 24: 10AM-6PMSunday, August 25: 11AM-5PM 
 

Location
Renaissance Schaumburg Hotel & Convention Center1551 Thoreau Dr N, Schaumburg, IL 60173
Military Receives FREE Admission
InterGem offers free admission to all Military members (Active & Veterans) and their immediate family members. Bring your Military I.D. to the ticketing booth. 
Restrictions
No Photography Allowed.Children Under 9 Not Permitted. 
Ticket Prices  
Discounted Online Tickets | $6.00 | Save 25%! Credit Card Only.Standard Tickets | $8.00 | Cash Only. Purchase At Show.Military Members And Family* | FREE | With Military I.D.Wholesale Buyers** | FREE | Registration RequiredTeachers*** | FREE | Registration Required
 

 America's Jewelry Marketplace
Visit America’s longest running direct-to-consumer jewelry show when it visits your town! The International Gem & Jewelry Show’s world famous “Jeweler’s Market” brings wholesalers, manufacturers and designers together under one roof. Shop from rows and rows of quality gemstone, bead, jewelry and accessory dealers for incredible selection. You’ll find local jewelers, international vendors and talented artisans at every show. Whether you are shopping for jewelry making supplies or looking for the hottest trends, you’ll find what you’re looking for at the InterGem show.
SHOP DIRECT FOR INCREDIBLE PRICES AND SELECTION
Diamonds • Precious & Semi-Precious Gemstones • Fine Jewelry • Engagement Rings • Beads • Pearls • Custom Jewelry • Fashion Jewelry • Settings & Mountings • Southwestern Jewelry • Ethnic Jewelry • Men’s Jewelry • Watches • Accessories • Vintage & Estate • Chains • Findings • Jewelry Supplies",28800,2019-08-24 15:00:00+00:00,2019-08-24 23:00:00+00:00,,2019-07-16 00:18:33+00:00,"['expo', 'fashion']","[-88.040891, 42.060676]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4916288'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908052']]",America/Chicago,"[{'entity_id': 'YTxUxrXR9gEgPmLf8pGtqX', 'name': 'The International Gem & Jewelry Show - Chicago, IL', 'type': 'event-group', 'formatted_address': '1551 Thoreau Dr N, Schaumburg, IL 60173, United States'}, {'entity_id': 'J2srWihAKstn8jpFFEEHdZ', 'name': 'Renaissance Schaumburg Convention Center Hotel', 'type': 'venue', 'formatted_address': 'Thoreau Drive North\nSchaumburg, IL 60173\nUnited States of America'}]",6486,66,85,45
